Part;Value;Device;Package;Description;PROD_ID;VALUE
X2;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
X3;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
X4;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
X5;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
X6;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
X7;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PIN-LONG-PAD;JST-XH-03-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
X8;Wago Schraubklemme;W237-102;W237-102;WAGO SCREW CLAMP;;
X9;Wago Schraubklemme;W237-6;W237-6;WAGO SCREW CLAMP;;
X10;JST-XH-06-PIN-LONG-PAD;JST-XH-06-PIN-LONG-PAD;JST-XH-06-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;
X12;;;;;;
